TRAINING STARTED...
Trial 1/25
USING POSITIONAL ENCODING:  LaPE
USING POSITIONAL ENCODING:  LaPE
GNN(
  (layers): ModuleList(
    (0): GatedGCNLayer(in_channels=6, out_channels=64)
    (1-3): 3 x GatedGCNLayer(in_channels=64, out_channels=64)
    (4): GatedGCNLayer(in_channels=64, out_channels=3)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=492, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  69146
Epoch 1, Train acc: 0.33, Validation acc: 0.3 (new best validation), Test acc: 0.32
Epoch 2, Train acc: 0.56, Validation acc: 0.56 (new best validation), Test acc: 0.55
Epoch 3, Train acc: 0.55, Validation acc: 0.57 (new best validation), Test acc: 0.556
Epoch 4, Train acc: 0.58, Validation acc: 0.58 (new best validation), Test acc: 0.61
Epoch 5, Train acc: 0.63, Validation acc: 0.62 (new best validation), Test acc: 0.634
Epoch 6, Train acc: 0.53, Validation acc: 0.55, Test acc: 0.546
Epoch 7, Train acc: 0.53, Validation acc: 0.54, Test acc: 0.546
Epoch 8, Train acc: 0.18, Validation acc: 0.19, Test acc: 0.176
Epoch 9, Train acc: 0.23, Validation acc: 0.24, Test acc: 0.214
Epoch 10, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 11, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 12, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 13, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 14, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 15, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 16, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 17, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 18, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 19, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 20, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 21, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 22, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 23, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 24, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 25, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 26, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 27, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 28, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 29, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 30, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 31, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 32, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 33, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 34, Train acc: 0.33, Validation acc: 0.3, Test acc: 0.32
Epoch 35, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 36, Train acc: 0.4, Validation acc: 0.41, Test acc: 0.388
Epoch 37, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 38, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 39, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 40, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 41, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 42, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 43, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 44, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 45, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 46, Train acc: 0.52, Validation acc: 0.53, Test acc: 0.532
Epoch 47, Train acc: 0.33, Validation acc: 0.3, Test acc: 0.32
Epoch 48, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 49, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 50, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 51, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 52, Train acc: 0.33, Validation acc: 0.3, Test acc: 0.32
Epoch 53, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 54, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 55, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 56, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 57, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 58, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 59, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 60, Train acc: 0.34, Validation acc: 0.32, Test acc: 0.332
Epoch 61, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 62, Train acc: 0.15, Validation acc: 0.16, Test acc: 0.148
Epoch 63, Train acc: 0.33, Validation acc: 0.3, Test acc: 0.32
Epoch 64, Train acc: 0.51, Validation acc: 0.51, Test acc: 0.512
Epoch 65, Train acc: 0.65, Validation acc: 0.63 (new best validation), Test acc: 0.61
Epoch 66, Train acc: 0.44, Validation acc: 0.42, Test acc: 0.466
Epoch 67, Train acc: 0.47, Validation acc: 0.47, Test acc: 0.436
Epoch 68, Train acc: 0.64, Validation acc: 0.63, Test acc: 0.64
Epoch 69, Train acc: 0.51, Validation acc: 0.5, Test acc: 0.504
Epoch 70, Train acc: 0.54, Validation acc: 0.56, Test acc: 0.548
Epoch 71, Train acc: 0.41, Validation acc: 0.43, Test acc: 0.402
Epoch 72, Train acc: 0.35, Validation acc: 0.39, Test acc: 0.334
Epoch 73, Train acc: 0.54, Validation acc: 0.56, Test acc: 0.546
Epoch 74, Train acc: 0.56, Validation acc: 0.58, Test acc: 0.55
Epoch 75, Train acc: 0.67, Validation acc: 0.66 (new best validation), Test acc: 0.658
Epoch 76, Train acc: 0.57, Validation acc: 0.56, Test acc: 0.58
Epoch 77, Train acc: 0.58, Validation acc: 0.58, Test acc: 0.582
Epoch 78, Train acc: 0.68, Validation acc: 0.67 (new best validation), Test acc: 0.668
Epoch 79, Train acc: 0.62, Validation acc: 0.62, Test acc: 0.632
Epoch 80, Train acc: 0.59, Validation acc: 0.59, Test acc: 0.588
Epoch 81, Train acc: 0.59, Validation acc: 0.57, Test acc: 0.61
Epoch 82, Train acc: 0.38, Validation acc: 0.4, Test acc: 0.406
Epoch 83, Train acc: 0.68, Validation acc: 0.66, Test acc: 0.652
Epoch 84, Train acc: 0.52, Validation acc: 0.52, Test acc: 0.542
Epoch 85, Train acc: 0.54, Validation acc: 0.54, Test acc: 0.486
Epoch 86, Train acc: 0.57, Validation acc: 0.59, Test acc: 0.558
Epoch 87, Train acc: 0.67, Validation acc: 0.66, Test acc: 0.668
Epoch 88, Train acc: 0.67, Validation acc: 0.66, Test acc: 0.652
Epoch 89, Train acc: 0.58, Validation acc: 0.6, Test acc: 0.566
Epoch 90, Train acc: 0.6, Validation acc: 0.6, Test acc: 0.576
Epoch 91, Train acc: 0.57, Validation acc: 0.56, Test acc: 0.544
Epoch 92, Train acc: 0.57, Validation acc: 0.58, Test acc: 0.55
Epoch 93, Train acc: 0.58, Validation acc: 0.58, Test acc: 0.55
Epoch 94, Train acc: 0.61, Validation acc: 0.62, Test acc: 0.574
Epoch 95, Train acc: 0.58, Validation acc: 0.59, Test acc: 0.554
Epoch 96, Train acc: 0.59, Validation acc: 0.6, Test acc: 0.562
Epoch 97, Train acc: 0.58, Validation acc: 0.58, Test acc: 0.552
