TRAINING STARTED...
Trial 1/25
GNN(
  (layers): ModuleList(
    (0): GatedGCNLayer(in_channels=3, out_channels=64)
    (1-3): 3 x GatedGCNLayer(in_channels=64, out_channels=64)
    (4): GatedGCNLayer(in_channels=64, out_channels=6)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=126, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  67343
Epoch 1, Train acc: 0.17, Validation acc: 0.22 (new best validation), Test acc: 0.18333333333333332
Epoch 2, Train acc: 0.24, Validation acc: 0.18, Test acc: 0.23333333333333334
Epoch 3, Train acc: 0.2, Validation acc: 0.08, Test acc: 0.16666666666666666
Epoch 4, Train acc: 0.18, Validation acc: 0.1, Test acc: 0.15
Epoch 5, Train acc: 0.2, Validation acc: 0.13, Test acc: 0.18333333333333332
Epoch 6, Train acc: 0.22, Validation acc: 0.15, Test acc: 0.2
Epoch 7, Train acc: 0.25, Validation acc: 0.17, Test acc: 0.21666666666666667
Epoch 8, Train acc: 0.25, Validation acc: 0.23 (new best validation), Test acc: 0.23333333333333334
Epoch 9, Train acc: 0.25, Validation acc: 0.23, Test acc: 0.26666666666666666
Epoch 10, Train acc: 0.24, Validation acc: 0.22, Test acc: 0.26666666666666666
Epoch 11, Train acc: 0.24, Validation acc: 0.22, Test acc: 0.26666666666666666
Epoch 12, Train acc: 0.23, Validation acc: 0.2, Test acc: 0.26666666666666666
Epoch 13, Train acc: 0.25, Validation acc: 0.22, Test acc: 0.25
Epoch 14, Train acc: 0.24, Validation acc: 0.22, Test acc: 0.25
Epoch 15, Train acc: 0.23, Validation acc: 0.23, Test acc: 0.25
Epoch 16, Train acc: 0.24, Validation acc: 0.25 (new best validation), Test acc: 0.25
Epoch 17, Train acc: 0.25, Validation acc: 0.28 (new best validation), Test acc: 0.26666666666666666
Epoch 18, Train acc: 0.25, Validation acc: 0.28, Test acc: 0.2833333333333333
