TRAINING STARTED...
Trial 1/25
GNN(
  (layers): ModuleList(
    (0): GatedGCNLayer(in_channels=3, out_channels=64)
    (1-3): 3 x GatedGCNLayer(in_channels=64, out_channels=64)
    (4): GatedGCNLayer(in_channels=64, out_channels=2)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=620, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  68497
Epoch 1, Train acc: 0.59, Validation acc: 0.59 (new best validation), Test acc: 0.6517857142857143
Epoch 2, Train acc: 0.63, Validation acc: 0.61 (new best validation), Test acc: 0.6964285714285714
Epoch 3, Train acc: 0.63, Validation acc: 0.66 (new best validation), Test acc: 0.6964285714285714
Epoch 4, Train acc: 0.62, Validation acc: 0.68 (new best validation), Test acc: 0.6785714285714286
Epoch 5, Train acc: 0.62, Validation acc: 0.67, Test acc: 0.6964285714285714
Epoch 6, Train acc: 0.68, Validation acc: 0.73 (new best validation), Test acc: 0.7410714285714286
Epoch 7, Train acc: 0.68, Validation acc: 0.73, Test acc: 0.75
Epoch 8, Train acc: 0.68, Validation acc: 0.74 (new best validation), Test acc: 0.7321428571428571
Epoch 9, Train acc: 0.68, Validation acc: 0.74, Test acc: 0.7410714285714286
Epoch 10, Train acc: 0.68, Validation acc: 0.73, Test acc: 0.7232142857142857
Epoch 11, Train acc: 0.68, Validation acc: 0.73, Test acc: 0.7410714285714286
Epoch 12, Train acc: 0.68, Validation acc: 0.73, Test acc: 0.7053571428571429
Epoch 13, Train acc: 0.69, Validation acc: 0.73, Test acc: 0.7142857142857143
Epoch 14, Train acc: 0.68, Validation acc: 0.75 (new best validation), Test acc: 0.7232142857142857
Epoch 15, Train acc: 0.69, Validation acc: 0.75, Test acc: 0.7142857142857143
Epoch 16, Train acc: 0.7, Validation acc: 0.75, Test acc: 0.7321428571428571
Epoch 17, Train acc: 0.69, Validation acc: 0.74, Test acc: 0.7142857142857143
Epoch 18, Train acc: 0.69, Validation acc: 0.73, Test acc: 0.6964285714285714
Epoch 19, Train acc: 0.69, Validation acc: 0.74, Test acc: 0.6964285714285714
Epoch 20, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.6964285714285714
Epoch 21, Train acc: 0.69, Validation acc: 0.74, Test acc: 0.7053571428571429
Epoch 22, Train acc: 0.69, Validation acc: 0.74, Test acc: 0.7053571428571429
Epoch 23, Train acc: 0.69, Validation acc: 0.75, Test acc: 0.7232142857142857
Epoch 24, Train acc: 0.7, Validation acc: 0.75, Test acc: 0.7321428571428571
Epoch 25, Train acc: 0.7, Validation acc: 0.75, Test acc: 0.7142857142857143
Epoch 26, Train acc: 0.69, Validation acc: 0.73, Test acc: 0.7053571428571429
Epoch 27, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.6875
Epoch 28, Train acc: 0.7, Validation acc: 0.74, Test acc: 0.7232142857142857
Epoch 29, Train acc: 0.69, Validation acc: 0.74, Test acc: 0.6964285714285714
Epoch 30, Train acc: 0.7, Validation acc: 0.74, Test acc: 0.7142857142857143
Epoch 31, Train acc: 0.69, Validation acc: 0.73, Test acc: 0.7053571428571429
Epoch 32, Train acc: 0.69, Validation acc: 0.73, Test acc: 0.7142857142857143
Epoch 33, Train acc: 0.7, Validation acc: 0.75, Test acc: 0.7321428571428571
Epoch 34, Train acc: 0.7, Validation acc: 0.76 (new best validation), Test acc: 0.7321428571428571
Epoch 35, Train acc: 0.69, Validation acc: 0.74, Test acc: 0.7142857142857143
Epoch 36, Train acc: 0.69, Validation acc: 0.74, Test acc: 0.6964285714285714
Epoch 37, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.7053571428571429
Epoch 38, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.7142857142857143
Epoch 39, Train acc: 0.7, Validation acc: 0.72, Test acc: 0.6875
Epoch 40, Train acc: 0.69, Validation acc: 0.73, Test acc: 0.7142857142857143
Epoch 41, Train acc: 0.69, Validation acc: 0.73, Test acc: 0.7232142857142857
Epoch 42, Train acc: 0.7, Validation acc: 0.75, Test acc: 0.7053571428571429
Epoch 43, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.7142857142857143
Epoch 44, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.7232142857142857
Epoch 45, Train acc: 0.71, Validation acc: 0.74, Test acc: 0.7142857142857143
Epoch 46, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.7232142857142857
Epoch 47, Train acc: 0.7, Validation acc: 0.72, Test acc: 0.7142857142857143
Epoch 48, Train acc: 0.71, Validation acc: 0.74, Test acc: 0.7232142857142857
Epoch 49, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.75
Epoch 50, Train acc: 0.7, Validation acc: 0.72, Test acc: 0.7142857142857143
Epoch 51, Train acc: 0.7, Validation acc: 0.71, Test acc: 0.7053571428571429
Epoch 52, Train acc: 0.7, Validation acc: 0.7, Test acc: 0.6964285714285714
Epoch 53, Train acc: 0.71, Validation acc: 0.71, Test acc: 0.7142857142857143
Epoch 54, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.7142857142857143
Epoch 55, Train acc: 0.7, Validation acc: 0.72, Test acc: 0.7142857142857143
Epoch 56, Train acc: 0.71, Validation acc: 0.71, Test acc: 0.7053571428571429
Epoch 57, Train acc: 0.7, Validation acc: 0.7, Test acc: 0.6964285714285714
Epoch 58, Train acc: 0.71, Validation acc: 0.7, Test acc: 0.7232142857142857
Epoch 59, Train acc: 0.7, Validation acc: 0.71, Test acc: 0.6964285714285714
Epoch 60, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.7053571428571429
Epoch 61, Train acc: 0.71, Validation acc: 0.7, Test acc: 0.7321428571428571
Epoch 62, Train acc: 0.71, Validation acc: 0.7, Test acc: 0.7053571428571429
