TRAINING STARTED...
Trial 1/25
USING POSITIONAL ENCODING:  RWPE
USING POSITIONAL ENCODING:  RWPE
GNN(
  (layers): ModuleList(
    (0): GatedGCNLayer(in_channels=6, out_channels=64)
    (1-3): 3 x GatedGCNLayer(in_channels=64, out_channels=64)
    (4): GatedGCNLayer(in_channels=64, out_channels=2)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=136, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  67037
Epoch 1, Train acc: 0.48, Validation acc: 0.52 (new best validation), Test acc: 0.62
Epoch 2, Train acc: 0.48, Validation acc: 0.52, Test acc: 0.62
Epoch 3, Train acc: 0.48, Validation acc: 0.52, Test acc: 0.62
Epoch 4, Train acc: 0.48, Validation acc: 0.52, Test acc: 0.62
Epoch 5, Train acc: 0.48, Validation acc: 0.52, Test acc: 0.62
Epoch 6, Train acc: 0.51, Validation acc: 0.54 (new best validation), Test acc: 0.63
Epoch 7, Train acc: 0.64, Validation acc: 0.7 (new best validation), Test acc: 0.69
Epoch 8, Train acc: 0.7, Validation acc: 0.66, Test acc: 0.64
Epoch 9, Train acc: 0.54, Validation acc: 0.49, Test acc: 0.4
Epoch 10, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 11, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 12, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 13, Train acc: 0.6, Validation acc: 0.58, Test acc: 0.48
Epoch 14, Train acc: 0.56, Validation acc: 0.52, Test acc: 0.44
Epoch 15, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 16, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 17, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 18, Train acc: 0.54, Validation acc: 0.53, Test acc: 0.46
Epoch 19, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 20, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 21, Train acc: 0.64, Validation acc: 0.62, Test acc: 0.56
Epoch 22, Train acc: 0.63, Validation acc: 0.62, Test acc: 0.57
Epoch 23, Train acc: 0.57, Validation acc: 0.55, Test acc: 0.52
Epoch 24, Train acc: 0.63, Validation acc: 0.63, Test acc: 0.54
Epoch 25, Train acc: 0.66, Validation acc: 0.64, Test acc: 0.6
Epoch 26, Train acc: 0.59, Validation acc: 0.58, Test acc: 0.53
Epoch 27, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 28, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 29, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 30, Train acc: 0.7, Validation acc: 0.64, Test acc: 0.62
Epoch 31, Train acc: 0.52, Validation acc: 0.49, Test acc: 0.43
Epoch 32, Train acc: 0.56, Validation acc: 0.64, Test acc: 0.52
Epoch 33, Train acc: 0.69, Validation acc: 0.67, Test acc: 0.66
Epoch 34, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 35, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 36, Train acc: 0.65, Validation acc: 0.68, Test acc: 0.69
Epoch 37, Train acc: 0.69, Validation acc: 0.65, Test acc: 0.66
Epoch 38, Train acc: 0.63, Validation acc: 0.72 (new best validation), Test acc: 0.7
Epoch 39, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 40, Train acc: 0.59, Validation acc: 0.57, Test acc: 0.45
Epoch 41, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 42, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 43, Train acc: 0.5, Validation acc: 0.48, Test acc: 0.38
Epoch 44, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 45, Train acc: 0.48, Validation acc: 0.51, Test acc: 0.42
Epoch 46, Train acc: 0.53, Validation acc: 0.52, Test acc: 0.4
Epoch 47, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 48, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 49, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 50, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 51, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 52, Train acc: 0.51, Validation acc: 0.49, Test acc: 0.42
Epoch 53, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
Epoch 54, Train acc: 0.52, Validation acc: 0.48, Test acc: 0.38
