TRAINING STARTED...
Trial 1/25
USING POSITIONAL ENCODING:  pump
USING POSITIONAL ENCODING:  pump
GNN(
  (layers): ModuleList(
    (0): GatedGCNLayer(in_channels=40, out_channels=64)
    (1-3): 3 x GatedGCNLayer(in_channels=64, out_channels=64)
    (4): GatedGCNLayer(in_channels=64, out_channels=2)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=56, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  77517
Epoch 73, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 74, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 75, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 76, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 77, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 78, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 79, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 80, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 81, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 82, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 83, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 84, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 85, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 86, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 87, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 88, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 89, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 90, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 91, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 92, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 93, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 94, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 95, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 96, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 97, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 98, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 99, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 100, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
