TRAINING STARTED...
Trial 1/25
USING POSITIONAL ENCODING:  RWPE
USING POSITIONAL ENCODING:  RWPE
GNN(
  (layers): ModuleList(
    (0): GCNConv(58, 64)
    (1-3): 3 x GCNConv(64, 64)
    (4): GCNConv(64, 2)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=57, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  16706
Epoch 1, Train acc: 0.79, Validation acc: 0.78 (new best validation), Test acc: 0.7560975609756098
Epoch 2, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 3, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 4, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 5, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 6, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 7, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 8, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 9, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 10, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 11, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 12, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 13, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 14, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 15, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 16, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 17, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 18, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 19, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 20, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 21, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 22, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 23, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 24, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 25, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 26, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 27, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 28, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 29, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 30, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 31, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 32, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 33, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 34, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 35, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 36, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 37, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 38, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 39, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 40, Train acc: 0.79, Validation acc: 0.78, Test acc: 0.7560975609756098
Epoch 41, Train acc: 0.81, Validation acc: 0.78, Test acc: 0.7804878048780488
Epoch 42, Train acc: 0.81, Validation acc: 0.78, Test acc: 0.7804878048780488
Epoch 43, Train acc: 0.81, Validation acc: 0.78, Test acc: 0.7804878048780488
Epoch 44, Train acc: 0.82, Validation acc: 0.8 (new best validation), Test acc: 0.7804878048780488
Epoch 45, Train acc: 0.81, Validation acc: 0.78, Test acc: 0.7804878048780488
Epoch 46, Train acc: 0.82, Validation acc: 0.8, Test acc: 0.8048780487804879
Epoch 47, Train acc: 0.82, Validation acc: 0.8, Test acc: 0.7804878048780488
Epoch 48, Train acc: 0.84, Validation acc: 0.8, Test acc: 0.8780487804878049
