TRAINING STARTED...
Trial 1/25
GNN(
  (layers): ModuleList(
    (0): GCNConv(3, 64)
    (1-3): 3 x GCNConv(64, 64)
    (4): GCNConv(64, 6)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=126, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  13791
Epoch 1, Train acc: 0.19, Validation acc: 0.1 (new best validation), Test acc: 0.25
Epoch 2, Train acc: 0.22, Validation acc: 0.08, Test acc: 0.18333333333333332
Epoch 3, Train acc: 0.22, Validation acc: 0.07, Test acc: 0.18333333333333332
Epoch 4, Train acc: 0.22, Validation acc: 0.07, Test acc: 0.23333333333333334
Epoch 5, Train acc: 0.22, Validation acc: 0.08, Test acc: 0.23333333333333334
Epoch 6, Train acc: 0.27, Validation acc: 0.1, Test acc: 0.25
Epoch 7, Train acc: 0.28, Validation acc: 0.1, Test acc: 0.26666666666666666
Epoch 8, Train acc: 0.27, Validation acc: 0.1, Test acc: 0.21666666666666667
Epoch 9, Train acc: 0.28, Validation acc: 0.12 (new best validation), Test acc: 0.23333333333333334
Epoch 10, Train acc: 0.27, Validation acc: 0.12, Test acc: 0.21666666666666667
Epoch 11, Train acc: 0.27, Validation acc: 0.12, Test acc: 0.3
Epoch 12, Train acc: 0.28, Validation acc: 0.12, Test acc: 0.3
Epoch 13, Train acc: 0.29, Validation acc: 0.1, Test acc: 0.25
Epoch 14, Train acc: 0.26, Validation acc: 0.17 (new best validation), Test acc: 0.3
Epoch 15, Train acc: 0.27, Validation acc: 0.12, Test acc: 0.3
Epoch 16, Train acc: 0.28, Validation acc: 0.12, Test acc: 0.26666666666666666
Epoch 17, Train acc: 0.29, Validation acc: 0.13, Test acc: 0.2833333333333333
Epoch 18, Train acc: 0.28, Validation acc: 0.13, Test acc: 0.31666666666666665
Epoch 19, Train acc: 0.28, Validation acc: 0.2 (new best validation), Test acc: 0.31666666666666665
Epoch 20, Train acc: 0.29, Validation acc: 0.13, Test acc: 0.31666666666666665
Epoch 21, Train acc: 0.27, Validation acc: 0.13, Test acc: 0.31666666666666665
Epoch 22, Train acc: 0.28, Validation acc: 0.17, Test acc: 0.31666666666666665
Epoch 23, Train acc: 0.26, Validation acc: 0.18, Test acc: 0.3333333333333333
Epoch 24, Train acc: 0.28, Validation acc: 0.17, Test acc: 0.2833333333333333
Epoch 25, Train acc: 0.3, Validation acc: 0.18, Test acc: 0.31666666666666665
Epoch 26, Train acc: 0.24, Validation acc: 0.17, Test acc: 0.35
Epoch 27, Train acc: 0.31, Validation acc: 0.2, Test acc: 0.31666666666666665
Epoch 28, Train acc: 0.26, Validation acc: 0.17, Test acc: 0.35
Epoch 29, Train acc: 0.26, Validation acc: 0.18, Test acc: 0.3333333333333333
Epoch 30, Train acc: 0.3, Validation acc: 0.18, Test acc: 0.3
Epoch 31, Train acc: 0.29, Validation acc: 0.2, Test acc: 0.36666666666666664
Epoch 32, Train acc: 0.28, Validation acc: 0.15, Test acc: 0.31666666666666665
Epoch 33, Train acc: 0.29, Validation acc: 0.15, Test acc: 0.3
Epoch 34, Train acc: 0.28, Validation acc: 0.17, Test acc: 0.3
Epoch 35, Train acc: 0.31, Validation acc: 0.18, Test acc: 0.2833333333333333
Epoch 36, Train acc: 0.3, Validation acc: 0.2, Test acc: 0.3
Epoch 37, Train acc: 0.3, Validation acc: 0.17, Test acc: 0.31666666666666665
Epoch 38, Train acc: 0.31, Validation acc: 0.2, Test acc: 0.3
