TRAINING STARTED...
Trial 1/25
GNN(
  (layers): ModuleList(
    (0): GCNConv(3, 64)
    (1-3): 3 x GCNConv(64, 64)
    (4): GCNConv(64, 2)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=620, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  16001
Epoch 1, Train acc: 0.59, Validation acc: 0.57 (new best validation), Test acc: 0.6339285714285714
Epoch 2, Train acc: 0.62, Validation acc: 0.62 (new best validation), Test acc: 0.6964285714285714
Epoch 3, Train acc: 0.63, Validation acc: 0.6, Test acc: 0.6964285714285714
Epoch 4, Train acc: 0.69, Validation acc: 0.66 (new best validation), Test acc: 0.7410714285714286
Epoch 5, Train acc: 0.69, Validation acc: 0.66, Test acc: 0.7321428571428571
Epoch 6, Train acc: 0.69, Validation acc: 0.76 (new best validation), Test acc: 0.7589285714285714
Epoch 7, Train acc: 0.69, Validation acc: 0.66, Test acc: 0.75
Epoch 8, Train acc: 0.69, Validation acc: 0.74, Test acc: 0.7589285714285714
Epoch 9, Train acc: 0.69, Validation acc: 0.71, Test acc: 0.75
Epoch 10, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.7589285714285714
Epoch 11, Train acc: 0.7, Validation acc: 0.74, Test acc: 0.7589285714285714
Epoch 12, Train acc: 0.69, Validation acc: 0.75, Test acc: 0.7410714285714286
Epoch 13, Train acc: 0.7, Validation acc: 0.68, Test acc: 0.75
Epoch 14, Train acc: 0.71, Validation acc: 0.73, Test acc: 0.7678571428571429
Epoch 15, Train acc: 0.68, Validation acc: 0.74, Test acc: 0.75
Epoch 16, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.75
Epoch 17, Train acc: 0.69, Validation acc: 0.68, Test acc: 0.7321428571428571
Epoch 18, Train acc: 0.7, Validation acc: 0.73, Test acc: 0.7678571428571429
